Date,DateTime,FunctionName,Value,Time,shift_wise
03-04-2023,7,McFood,0,7,1
03-04-2023,8,McFood,0,8,1
03-04-2023,8,McFood,0,8,1
03-04-2023,9,McFood,0,9,1
03-04-2023,9,McFood,0,9,1
03-04-2023,10,McFood,0,10,1
03-04-2023,10,McFood,0,10,1
03-04-2023,11,McFood,0,11,1
03-04-2023,11,McFood,0,11,1
03-04-2023,12,McFood,0,12,1
03-04-2023,12,McFood,0,12,1
03-04-2023,13,McFood,0,13,1
03-04-2023,13,McFood,0,13,1
03-04-2023,14,McFood,0,14,1
03-04-2023,14,McFood,0,14,1
03-04-2023,15,McFood,0,15,1
03-04-2023,15,McFood,0,15,1
03-04-2023,16,McFood,0,16,1
03-04-2023,16,McFood,0,16,1
03-04-2023,17,McFood,0,17,1
03-04-2023,17,McFood,0,17,1
03-04-2023,18,McFood,0,18,1
03-04-2023,18,McFood,0,18,1
03-04-2023,19,McFood,0,19,1
03-04-2023,19,McFood,0,19,1
03-04-2023,20,McFood,0,20,1
03-04-2023,20,McFood,0,20,1
03-04-2023,21,McFood,0,21,1
03-04-2023,21,McFood,0,21,1
03-04-2023,22,McFood,0,22,1
03-04-2023,22,McFood,0,22,1
03-04-2023,23,McFood,0,23,1
03-04-2023,23,McFood,0,23,1
04-04-2023,24,McFood,0,0,1
04-04-2023,24,McFood,0,0,1
04-04-2023,25,McFood,0,1,1
04-04-2023,25,McFood,0,1,1
04-04-2023,26,McFood,0,2,1
04-04-2023,26,McFood,0,2,1
04-04-2023,27,McFood,0,3,1
04-04-2023,27,McFood,0,3,1
04-04-2023,28,McFood,0,4,1
04-04-2023,28,McFood,0,4,1
04-04-2023,29,McFood,0,5,1
04-04-2023,29,McFood,0,5,1
03-04-2023,6,Fries,0,6,1
03-04-2023,6,Fries,0,6,1
03-04-2023,7,Fries,0,7,1
03-04-2023,7,Fries,0,7,1
03-04-2023,8,Fries,0,8,1
03-04-2023,8,Fries,0,8,1
03-04-2023,9,Fries,0,9,1
03-04-2023,9,Fries,0,9,1
03-04-2023,10,Fries,1,10,1
03-04-2023,10,Fries,0,10,1
03-04-2023,11,Fries,1,11,1
03-04-2023,11,Fries,0,11,1
03-04-2023,12,Fries,1,12,1
03-04-2023,12,Fries,0,12,1
03-04-2023,13,Fries,1,13,1
03-04-2023,13,Fries,0,13,1
03-04-2023,14,Fries,1,14,1
