,Ordernum,confirmationdate,countrycode,yrncps,yrncnt,yrnqlt,yrnsubqltA,yrnsubqltB,yrndyeclr,yrndyeclrdesc,ffcode,yrnclrref,yrndyeshade,yrndyekgsreq,yrnqlt1
15,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,EXOTIC ORANGE,FF00171,1OER00345A,4-Extra Dark,102.0,NORMAL
16,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,SLUB,SLUB-K,YD,WHITE SLUB,None,1W0R00004A,5-White,137.0,NORMAL
17,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE,None,EV 83,5-White,137.0,NORMAL
18,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,SLUB,SLUB-K2,YD,OATMEAL-SLUB K,FF00171,1KLR26154A,1-Light,146.0,NORMAL
19,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,OATMEAL,FF00171,1KLR26154A,1-Light,146.0,NORMAL
20,H2300733A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,TEAL,FF00171,1BER06495A,4-Extra Dark,346.0,NORMAL
21,H2300733A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,TEAL STWIST,FF00172,1BER06495A,4-Extra Dark,346.0,NORMAL
22,H2300733A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,TEAL,FF00171,1BER06495A,4-Extra Dark,24.0,NORMAL
23,H2300736A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,FF00171,1BER06856A,4-Extra Dark,340.0,NORMAL
24,H2300736A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY STWIST,FF00172,1BER06856A,4-Extra Dark,340.0,NORMAL
25,H2300736A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,FF00171,1BER06856A,4-Extra Dark,26.0,NORMAL
26,2301111A,2023-04-21,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,BLUE D,FF00171,1BER07131C,4-Extra Dark,173.0,NORMAL
27,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,EGRET STWIST,FF00048,1KLR26018A,1-Light,121.0,NORMAL
28,DM2300170A,2023-04-15,MAU,100CO,10/2 NE,RING,COMPACT,None,YD,NAVY,None,1BDR07842A,3-Dark,85.0,NORMAL
29,F2300917A,2023-05-02,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,TOFFEE,FF00099,1KMH02718A,2-Medium,24.0,FIL
30,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE,None,EV 83,5-White,132.0,NORMAL
31,H2300733A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,TEAL,FF00171,1BER06495A,4-Extra Dark,18.0,NORMAL
32,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,BLACK,FF00171,1NER00003A,4-Extra Dark,154.0,NORMAL
33,F2300289B,2023-04-05,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,BLACK,FF00099,1NEH00001A,4-Extra Dark,260.0,FIL
34,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,SLUB,SLUB-K,YD,WHITE SLUB,None,1W0R00004A,5-White,92.0,NORMAL
35,H2300672A,2023-04-08,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,ROYAL NAVY S-TWIST,FF00048,1BER06400A,4-Extra Dark,56.0,NORMAL
36,H2300720A,2023-04-22,MAU,100CO,30/1 NE,RING,SLUB,SLUB-K2,YD,EXOTIC ORANGE-SLUB K,FF00171,1OER00345A,4-Extra Dark,102.0,NORMAL
37,H2300768A,2023-05-22,MAU,100CO,30/1 NE,OE,CAR,None,YD,WHITE,None,EV 83,5-White,92.0,NORMAL
38,2300709C,2023-05-06,MAU,50CO50CMD,30/1 NE,RING,COMPACT,None,YD,GREY STWIST,FF00048,1KLR25359A,1-Light,442.0,NORMAL
39,H2300736A,2023-04-22,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,FF00171,1BER06856A,4-Extra Dark,25.0,NORMAL
40,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00172,EV 83,5-White,346.0,NORMAL
41,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,CHESTNUT,FF00171,1KDR04543C,3-Dark,154.0,NORMAL
42,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00172,EV 83,5-White,12.0,NORMAL
43,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00172,EV 83,5-White,30.0,NORMAL
44,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00172,EV 83,5-White,346.0,NORMAL
45,S2301071,2023-05-04,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,PINK LAVENDER,FF00171,TBC-MED,2-Medium,20.0,NORMAL
46,S2301071,2023-05-04,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,DEEP GREEN,FF00171,TBC-MED,2-Medium,22.0,NORMAL
47,F2300289B,2023-04-05,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,BROWN,FF00099,TBC-EXDARK,4-Extra Dark,196.0,FIL
48,F2300849A,2023-04-19,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,ICE GREY,FF00099,TBC-MED,2-Medium,67.0,FIL
49,2300709C,2023-05-06,MAU,50CO50CMD,30/1 NE,RING,COMPACT,None,YD,BLACK,None,1NER00003A,4-Extra Dark,221.0,NORMAL
50,2300709C,2023-05-06,MAU,50CO50CMD,30/1 NE,RING,COMPACT,None,YD,BLACK,None,1NER00003A,4-Extra Dark,94.0,NORMAL
51,2300851A,2023-02-23,MAU,100PET,40/2 NE,RING,COMPACT,None,YD,NAVY,FF00083,1BEH01101A,4-Extra Dark,6.0,NORMAL
52,2300851A,2023-02-23,MAU,100PET,40/2 NE,RING,COMPACT,None,YD,NAVY,FF00083,1BEH01101A,4-Extra Dark,14.0,NORMAL
53,2300851A,2023-02-23,MAU,100PET,40/2 NE,RING,COMPACT,None,YD,NAVY,FF00083,1BEH01101A,4-Extra Dark,9.0,NORMAL
54,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,FF00171,1BDR07846B,3-Dark,154.0,NORMAL
55,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00172,EV 83,5-White,12.0,NORMAL
56,H2300760A,2023-05-06,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00172,EV 83,5-White,30.0,NORMAL
57,H2300768A,2023-05-22,MAU,100CO,16/1 NE,OE,CAR,None,YD,WHITE,None,EV 83,5-White,493.0,NORMAL
58,H2300768A,2023-05-22,MAU,100CO,16/1 NE,OE,CAR,None,YD,BLACK,None,1NER00003A,4-Extra Dark,360.0,NORMAL
59,2300851A,2023-02-23,MAU,100PET,40/2 NE,RING,COMPACT,None,YD,NAVY,FF00083,1BEH01101A,4-Extra Dark,28.0,NORMAL
60,2300851A,2023-02-23,MAU,100PET,40/2 NE,RING,COMPACT,None,YD,STONE,FF00083,1KLH04084A,1-Light,1.0,NORMAL
61,2301111A,2023-04-21,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,BLUE D,FF00171,1BER07131C,4-Extra Dark,322.0,NORMAL
62,2301111A,2023-04-21,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,WHITE,FF00171,EV 83,5-White,658.0,NORMAL
63,2301111A,2023-04-21,MAU,100CO,12/1 NE,RING,COMPACT,None,YD,BLUE D,FF00171,1BER07131C,4-Extra Dark,207.0,NORMAL
64,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,EGRET,FF00171,1KLR26018A,1-Light,105.0,NORMAL
